|context_id|context|question|answer|answer_start|answer_end
92|89|In 2006, we built Campfire to help businesses communicate better. Its a simple, real-time web-based group chat tool that lets people set up password-protected chat rooms super quickly. At the very beginning, it didnt integrate with Basecamp, but when it did, it took off. Signups for Campfire were closed in February 2017.|In what month and year did signups for Campfire end?|February 2017|308|322
93|90|37signals SuiteThe 37signals Suite was a bundle of Basecamp Classic, Highrise, Backpack, and Campfire that allowed businesses to get big savings across the apps, simplify billing, and unify users across the apps. We retired the 37signals Suite offering after BCX was launched.|What were the components of the 37signals Suite?|Basecamp Classic, Highrise, Backpack, and Campfire|51|101
94|91|37signals SuiteThe 37signals Suite was a bundle of Basecamp Classic, Highrise, Backpack, and Campfire that allowed businesses to get big savings across the apps, simplify billing, and unify users across the apps. We retired the 37signals Suite offering after BCX was launched.|What app allowed businesses to get big savings across apps?|37signals Suite|19|34
95|92|In 2012, we launched Echo, which turned into Breeze, a mailing list tool for small groups. We were excited about it, tried for a year to build up the product and bring in customers, but the product didnt take off like we hoped it would. Only about 1,200 customers signed up in that year, so rather than watch it limp along, we closed it down in August 2013.|What did the name Echo become?|Breeze|45|52
96|93|In 2012, we launched Echo, which turned into Breeze, a mailing list tool for small groups. We were excited about it, tried for a year to build up the product and bring in customers, but the product didnt take off like we hoped it would. Only about 1,200 customers signed up in that year, so rather than watch it limp along, we closed it down in August 2013.|What was the number of people who signed up for Echo in 2012?|1,200|248|253
97|94|Unlike our other retired products, we refunded our customers money and closed the product entirely so not even existing customers could retain their subscription. We directed them to other small scale mailing list alternatives and apologized for the hiccup.WeWorkRemotely.com|How did we handle the refund for our other products?|closed the product entirely|71|98
98|94|Unlike our other retired products, we refunded our customers money and closed the product entirely so not even existing customers could retain their subscription. We directed them to other small scale mailing list alternatives and apologized for the hiccup.WeWorkRemotely.com|How did our other retired products end up closing?|we refunded our customers money and closed the product entirely|35|98
99|95|37signals has run a job board since 2006, helping connect small businesses with good designers and programmers for full-time jobs, freelance gigs, and internships.|What site has run a job board since 2006?|37signals|0|9
100|95|37signals has run a job board since 2006, helping connect small businesses with good designers and programmers for full-time jobs, freelance gigs, and internships.|What year did 37signals start running a job board?|2006|36|41
101|97|In 2009, 37signals launched Sortfolio (previously named Haystack) to help clients find the right web designer in a more efficient way. Clients are able to filter by city and typical budget range and then peruse the results in a more visual way. We ended up selling Sortfolio in 2013 to be able to focus more on Basecamp and allow another company to give Sortfolio the love and attention it deserves.|Who was Sortfolio previously named?|Haystack|56|65
102|98|In 2009, 37signals launched Sortfolio (previously named Haystack) to help clients find the right web designer in a more efficient way. Clients are able to filter by city and typical budget range and then peruse the results in a more visual way. We ended up selling Sortfolio in 2013 to be able to focus more on Basecamp and allow another company to give Sortfolio the love and attention it deserves.|What other company did 37Signals sell Sortfolio to?|Basecamp|311|319
103|99|Know Your Team (formerly Know Your Company)|What was the Know Your Team formerly known as?|Know Your Company|25|43
104|100|In 2013, 37signals created a software tool that allows managers to ask questions to gain insight into what their employees think about work, the culture, the direction of the company, what people are working on, or even something personal like their favorite recent movie. We created Know Your Team because when the 37signals team grew to about 30 people, Jason realized he didnt know the company or its people as well as he should have. So, Know Your Team was created initially as an internal tool that eventually became a product that we sold to customers. In 2014, we sold Know Your Team to Claire Lew, and shes been running it ever since!|What company created a software tool in 2013?|37signals|9|18
105|101|International Travel Guide If you travel out of your country of residence with your work laptop or other devices, you may face questions about business visitor visas, customs, and border security. We have answers!|What are some of the questions international travelers may encounter?|business visitor visas, customs, and border security|143|196
106|104|You need a visa or a waiver to authorize travel to the US. If your country participates in the Visa Waiver Program (VWP), then you can apply for an ESTA (Electronic System for Travel Authorization) within 3 days of travel. The ESTA is valid for 2 years. Apply for an ESTA here.|What does ESTA stand for?|Electronic System for Travel Authorization|154|197
107|105|You need a visa or a waiver to authorize travel to the US. If your country participates in the Visa Waiver Program (VWP), then you can apply for an ESTA (Electronic System for Travel Authorization) within 3 days of travel. The ESTA is valid for 2 years. Apply for an ESTA here.|What is the validity of an ESTA?|2 years|245|253
108|106|Canadian passport holders dont need a visa to enter the US for non-paid business events. Passport and government ID are all thats required.B-1 Business Visitor Visa|What are the two documents that a Canadian passport holder must have in order to enter the United States?|Passport and government ID|89|115
109|107|If your country does not participate in the Visa Waiver Program or you are not eligible for an ESTA, youll need to apply for a B-1 business visitor visa the long way.|What kind of visa will you need if your country does n 't participate in the Visa Waiver Program?|B-1 business visitor visa|127|152
110|108|Well work with you through this process. Start early, as soon as we have dates for a meetup or conference. Visa appointments and processing can take weeks to months. Ping Andrea as soon as you know that youll need a visa.|How soon should you start getting a visa?|weeks to months|149|165
111|108|Well work with you through this process. Start early, as soon as we have dates for a meetup or conference. Visa appointments and processing can take weeks to months. Ping Andrea as soon as you know that youll need a visa.|What is the typical processing time for a visa?|weeks to months|149|165
112|110|Citizens of some countries are eligible for Global Entry and Canadians are eligible for NEXUS. These programs are completely optional but may make life a little easier, at the cost of onerous biometric scans like fingerprinting (for Global Entry and NEXUS) and iris scanning (for NEXUS). Note: An ESTA is still required for travel; these programs just speed up entry.|How do these programs help?|speed up entry|352|367
113|111|Travel to countries other than the United StatesVisa|What is the name of the travel document that allows travel to other countries?|StatesVisa|42|52
114|112|The visa requirements for your nationality will vary depending on the country you plan to visit, as individual visa policies and requirements vary for different foreign citizens. It may or may not be necessary to obtain a travel document to visit your country of destination.|How will the visa requirements differ for different countries?|individual visa policies and requirements vary for different foreign citizens|100|178
115|112|The visa requirements for your nationality will vary depending on the country you plan to visit, as individual visa policies and requirements vary for different foreign citizens. It may or may not be necessary to obtain a travel document to visit your country of destination.|What document will it be necessary for you to have to have in order to enter a country?|travel document|222|237
116|113|Please check the requirements for your nationality with your destination country as far in advance of travel as you can. You can also use a visa checker. You may be able to travel visa-free, or you may need to obtain a visa, a waiver, or an electronic travel authorization.|How far in advance of travel can you check the required requirements for a trip?|as far|81|87
117|113|Please check the requirements for your nationality with your destination country as far in advance of travel as you can. You can also use a visa checker. You may be able to travel visa-free, or you may need to obtain a visa, a waiver, or an electronic travel authorization.|What can you use to check your travel requirements before travel?|visa checker|140|153
118|114|To substantiate the purpose of your travel to any country, we can provide an unofficial invitation letter that states that youre traveling on behalf of 37signals business. Verify in advance if the country youre visiting requires a letter of purpose, and that you wont need a work visa to accompany a letter.|what does the letter of purpose for travel state?|youre traveling on behalf of 37signals business|123|171
119|116|When you cross a border, you may be asked to unlock your phone or laptop for search, possibly exposing sensitive company data like source code, passwords, and customer account data. Yikes! We need to take some precautionary measures to safeguard our data.|What is sensitive information that can be exposed by a border crossing?|source code, passwords, and customer account data|131|181
120|117|When you cross a border, you may be asked to unlock your phone or laptop for search, possibly exposing sensitive company data like source code, passwords, and customer account data. Yikes! We need to take some precautionary measures to safeguard our data.|How do you safeguard company data?|We need to take some precautionary measures|189|232
121|118|Whats a work device? Anything you have company data on: your laptop where you work with source code; your tablet where you read work email; your phone where you use the Basecamp app; etc.TL;DR: Dont Travel With Work Data|What app do you use on your phone?|Basecamp|169|177
122|119|If you dont need your work laptop (or tablet/phone), dont bring it with you! Wipe company data from your phone before crossing the border. Restore it afterward.Checklist: Before You Travel|What do you do with your work laptop/tablet before crossing the border?|Wipe company data from your phone|77|110
123|120|Let us know! Share your travel plans and when you expect to arrive in the US. Update your electronic travel authorization with your travel info when you have it. Ensure you have your passport, visa/waiver, invitation letter, and travel details all in order. If you run into general travel issues while on 37signals business, contact Andrea. If you find yourself facing serious consequences like arrest or illegal detention in the United States, you can contact our attorney Jennifer Schaaf. Her contact information is in the teams vault in 1Password. You should also contact your home countrys embassy or consulate; please save that phone number prior to travel. If youre traveling to a country with privacy laws that concern you, please raise that concern internally with Andrea before you travel so we can discuss putting protections in place, including connecting you with a local, on-call attorney. 1Password Check that your personal 1Password vault doesnt have any work logins. If it does, move them to the team vault instead. You have a personal vault inside the 37signals team which is perfect for those logins. Turn on Travel Mode. Go to https://basecamp.1password.com/profile and click Enable Travel Mode. Open 1Password on each device youre traveling with (laptop, phone, iPad, etc) so it can wipe its data while its in Travel Mode. HEY Log out of HEY on all sessions. Clear browser cookies, logging you out of all work sites. Laptops: Clear cookies in Chrome, Safari, etc. iOS: Settings > Safari > Clear History and Website Data Android: Chrome > Settings > Privacy > Clear browsing data. Check Cookies and site data; uncheck all the other items. > Clear data. Source code. Make an encrypted archive on an external hard drive of your git repos so you can download and restore it after youre through customs. Here are instructions for doing that if youre running a Mac OS. Please perform an equally secure file encryption for Windows or Linux OS & check with SIP if youre unsure how to do that. Delete all source code from your laptop. Other sensitive documents. Same deal as source code. Make an encrypted backup on your external drive and remove from your laptop. Please refrain from using iCloud for any files/repos. Dropbox Log out of Dropbox and disconnect. Touch ID (optional) Unlocking your device can be compelled at US border crossings, but other countries may be less intrusive, so it may make sense to make your device a little harder to unlock. Disable Touch ID or Face ID on your phone, tablet, and laptop. Require a passcode/password to unlock.|Who should you contact if you run into travel issues?|Andrea|333|340
124|120|Let us know! Share your travel plans and when you expect to arrive in the US. Update your electronic travel authorization with your travel info when you have it. Ensure you have your passport, visa/waiver, invitation letter, and travel details all in order. If you run into general travel issues while on 37signals business, contact Andrea. If you find yourself facing serious consequences like arrest or illegal detention in the United States, you can contact our attorney Jennifer Schaaf. Her contact information is in the teams vault in 1Password. You should also contact your home countrys embassy or consulate; please save that phone number prior to travel. If youre traveling to a country with privacy laws that concern you, please raise that concern internally with Andrea before you travel so we can discuss putting protections in place, including connecting you with a local, on-call attorney. 1Password Check that your personal 1Password vault doesnt have any work logins. If it does, move them to the team vault instead. You have a personal vault inside the 37signals team which is perfect for those logins. Turn on Travel Mode. Go to https://basecamp.1password.com/profile and click Enable Travel Mode. Open 1Password on each device youre traveling with (laptop, phone, iPad, etc) so it can wipe its data while its in Travel Mode. HEY Log out of HEY on all sessions. Clear browser cookies, logging you out of all work sites. Laptops: Clear cookies in Chrome, Safari, etc. iOS: Settings > Safari > Clear History and Website Data Android: Chrome > Settings > Privacy > Clear browsing data. Check Cookies and site data; uncheck all the other items. > Clear data. Source code. Make an encrypted archive on an external hard drive of your git repos so you can download and restore it after youre through customs. Here are instructions for doing that if youre running a Mac OS. Please perform an equally secure file encryption for Windows or Linux OS & check with SIP if youre unsure how to do that. Delete all source code from your laptop. Other sensitive documents. Same deal as source code. Make an encrypted backup on your external drive and remove from your laptop. Please refrain from using iCloud for any files/repos. Dropbox Log out of Dropbox and disconnect. Touch ID (optional) Unlocking your device can be compelled at US border crossings, but other countries may be less intrusive, so it may make sense to make your device a little harder to unlock. Disable Touch ID or Face ID on your phone, tablet, and laptop. Require a passcode/password to unlock.|Who is our attorney?|Jennifer Schaaf|474|490
125|121|Have ready your passport, visa/waiver, invitation letter, and travel details including the address of where youll be staying. Ensure your devices are charged up and turned on. Customs may balk at a bricked phone or laptop. Common questions: Purpose of your visit? Here for a business meeting in city. Here to do work? Nope! Here on business, meeting with 37signals. Where are you staying? Lodging name, address, phone number. Be straightforward and truthful. Youre legit! No need to be cagey or misleading.|What group will likely balk at a bricked phone?|Customs|176|183
126|122|Have ready your passport, visa/waiver, invitation letter, and travel details including the address of where youll be staying. Ensure your devices are charged up and turned on. Customs may balk at a bricked phone or laptop. Common questions: Purpose of your visit? Here for a business meeting in city. Here to do work? Nope! Here on business, meeting with 37signals. Where are you staying? Lodging name, address, phone number. Be straightforward and truthful. Youre legit! No need to be cagey or misleading.|What company are you meeting with for business?|37signals|355|365
127|123|Let us know when youve arrived at your destination and have cleared airport security. Touch ID / Face ID: Reenable on your phone, tablet, and laptop. Dropbox: Log in and reconnect, but only if needed during travel. Basecamp app: Reinstall on your phone, tablet, and laptop. 1Password: Turn off Travel Mode. Go to https://basecamp.1password.com/profile and click Disable Travel Mode. Next time you open 1Password, youll have full access again. HEY: Log back in on your device(s). Source code: Download and restore the archive of your git repos, but only if needed during travel. Other sensitive documents: Download and restore, but only if needed during travel.|What does 1Password disable?|Travel Mode|294|306
128|124|Let us know when youve arrived at your destination and have cleared airport security. Touch ID / Face ID: Reenable on your phone, tablet, and laptop. Dropbox: Log in and reconnect, but only if needed during travel. Basecamp app: Reinstall on your phone, tablet, and laptop. 1Password: Turn off Travel Mode. Go to https://basecamp.1password.com/profile and click Disable Travel Mode. Next time you open 1Password, youll have full access again. HEY: Log back in on your device(s). Source code: Download and restore the archive of your git repos, but only if needed during travel. Other sensitive documents: Download and restore, but only if needed during travel.|What does 1 Password call the Travel Mode on?|Turn off Travel Mode|285|306
129|125|We work in 6-week or 8-week cycles at 37signals. There are typically six cycles to a year. Two are 8-week cycles, during Summer Hours, and the rest 6-week cycles. This fixed cadence serves to give us an internal sense of urgency, work as a scope hammer to keep projects from ballooning, and provide a regular interval to decide what were working on.|What are the typical cycles of a 37signals employee?|six cycles to a year|69|90
130|126|We work in 6-week or 8-week cycles at 37signals. There are typically six cycles to a year. Two are 8-week cycles, during Summer Hours, and the rest 6-week cycles. This fixed cadence serves to give us an internal sense of urgency, work as a scope hammer to keep projects from ballooning, and provide a regular interval to decide what were working on.|How many cycles does it take for a year at 37signals?|six|69|72
131|127|The idea is not that everything we ever decide to work on has to take six or eight weeks or can be completed in that time. But rather that we think about how we can break big projects into smaller ones that can be done in that amount of time, and that we bundle smaller things into a presentable scope of work that can be discussed.|How are smaller things bundled together?|into a presentable scope of work that can be discussed|277|332
132|128|This is particularly important for the product teams. Here we like to designate the work we take on with the scope in mind up front. We think of a small feature as a 1-weeker or a big feature as a 6-weeker (or anything in between). This designation helps us avoid a 1-weeker snowballing into a 4-weeker, just because people keep piling on more scope. Work is thus limited by a budget, and the budget focuses our discussion about whats reasonable and whats not. When a project starts slipping on its budget, the first approach should be to judo the problem and scope hammer the domain and certainly not make it up by working more hours! Most things we work on can fit within six normal weeks or eight summer weeks.|How do you approach a budget slippage?|to judo the problem and scope hammer the domain|536|583
133|128|This is particularly important for the product teams. Here we like to designate the work we take on with the scope in mind up front. We think of a small feature as a 1-weeker or a big feature as a 6-weeker (or anything in between). This designation helps us avoid a 1-weeker snowballing into a 4-weeker, just because people keep piling on more scope. Work is thus limited by a budget, and the budget focuses our discussion about whats reasonable and whats not. When a project starts slipping on its budget, the first approach should be to judo the problem and scope hammer the domain and certainly not make it up by working more hours! Most things we work on can fit within six normal weeks or eight summer weeks.|What is the normal range of weeks that a feature can fit in?|six|674|677
134|129|In between each cycle, we spend two weeks cooling down. Thats the time to deal with bugs or smaller issues that come up, write up what we worked on, and figure out what we should tackle next. Its sometimes tempting to simply extend the cycles into the cooldown period to fit in more work. But the goal is to resist this temptation. Yes, sometimes a little spill-over will happen, but its helpful to think about the end of the normal cycle as pencils down. That means that by week 4 of a normal cycle, we should be winding down, getting ready to launch, make sure QA is lined up, and all the other work that happens during and after the launch of new projects.|What is the length of time between each cycle?|two weeks|32|41
135|130|In between each cycle, we spend two weeks cooling down. Thats the time to deal with bugs or smaller issues that come up, write up what we worked on, and figure out what we should tackle next. Its sometimes tempting to simply extend the cycles into the cooldown period to fit in more work. But the goal is to resist this temptation. Yes, sometimes a little spill-over will happen, but its helpful to think about the end of the normal cycle as pencils down. That means that by week 4 of a normal cycle, we should be winding down, getting ready to launch, make sure QA is lined up, and all the other work that happens during and after the launch of new projects.|How do we spend 2 weeks between each cycle?|cooling down|42|55
136|132|Its hard to keep up on what everyone is doing and what it means, if you just watch the stream of latest activity scrolling along in 37signals. (Its also a waste of time and source of stress to even try.) Instead, we have four chief mechanisms for keeping everyone in the loop about the work thats going on.|How many chief mechanisms are there for keeping people in the loop about the work that is going on?|four|221|225
137|133|First, theres the daily question of What did you work on today?, which supplies the nitty gritty details, but as a personal narrative. Theyre a great conversation starter if you see someone working on something you either care about or want to learn more about. Please do use them as such! Youre obliged to answer this question at least twice a week.|what is the daily question|What did you work on today|36|64
138|133|First, theres the daily question of What did you work on today?, which supplies the nitty gritty details, but as a personal narrative. Theyre a great conversation starter if you see someone working on something you either care about or want to learn more about. Please do use them as such! Youre obliged to answer this question at least twice a week.|what is the minimum amount of answers you must give to this question?|twice a week|337|350
139|134|Second, theres the weekly question of What will you be working on this week?, which details your intentions for the coming week. Everyone except team OMG is obliged to answer this question when theyre not out.|when do you answer the weekly question|when theyre not out|189|209
140|134|Second, theres the weekly question of What will you be working on this week?, which details your intentions for the coming week. Everyone except team OMG is obliged to answer this question when theyre not out.|What is the name of the only exception to the weekly question of What will you be working on this week?|OMG|150|153
141|135|Daily and weekly check-ins are subdivided by department so you're only subscribed to your team's answers. You're of course free to subscribe to other team check-ins, but you're not obligated to do so if you find it too noisy.|What are the check-ins for the daily and weekly check-ins?|subdivided by department|31|55
142|136|Third, there are the heartbeats. These are the team versions of What did you work on this cycle? This is where we summarize and celebrate the work thats been done. Every team lead is obliged to write, or designate someone on the team to write, this account one week after a cycle has ended.|What are the team versions of What did you work on this cycle?|heartbeats|21|32
143|136|Third, there are the heartbeats. These are the team versions of What did you work on this cycle? This is where we summarize and celebrate the work thats been done. Every team lead is obliged to write, or designate someone on the team to write, this account one week after a cycle has ended.|What do the heartbeats celebrate?|the work thats been done|138|163
144|137|Fourth, and finally, there are the kickoffs. These are the team version of What are you going to work on next cycle? This is where the plan for the coming six or eight weeks is presented. Every team lead is obliged to write, or designate someone on the team to write, this account before the start of the new cycle.|What are the team version of What are you going to work on next cycle?|the kickoffs|31|44
145|137|Fourth, and finally, there are the kickoffs. These are the team version of What are you going to work on next cycle? This is where the plan for the coming six or eight weeks is presented. Every team lead is obliged to write, or designate someone on the team to write, this account before the start of the new cycle.|At what point does a team have to write its account of what are you going to work on next cycle?|before the start of the new cycle|281|315
146|138|These mechanisms work together to free individuals and teams to run their days and cycles with confidence and independence. We have six opportunities per year to make big decisions about what to work on, and the rest of the time should chiefly be spent carrying out those short-term plans. By having clear expectations for communication, its easier for everyone to build trust in where were going and why.|How many opportunities does the self-help system have per year to make big decisions?|six|132|135
147|138|These mechanisms work together to free individuals and teams to run their days and cycles with confidence and independence. We have six opportunities per year to make big decisions about what to work on, and the rest of the time should chiefly be spent carrying out those short-term plans. By having clear expectations for communication, its easier for everyone to build trust in where were going and why.|How does having expectations for communication help build trust in what was going and why?|easier|342|348
148|140|Whether you work on the product development or not, your voice and observations can help determine what we should be working on. The way to exert this influence is through pitches.|What can help determine what we should be working on?|your voice and observations|52|79
149|140|Whether you work on the product development or not, your voice and observations can help determine what we should be working on. The way to exert this influence is through pitches.|What is the name of the way that a user can influence a website?|pitches|172|180
150|141|Write-up your idea of a new feature, a change to a feature, or any other product development you think we should be considering as a fully considered post (the more specific, the better). This gives the whole company a chance to consider and respond to the idea, and then well have the idea encapsulated in a post, available for reference at any time.|How do you decide on an idea that will be included in a post?|available for reference at any time|315|351
151|141|Write-up your idea of a new feature, a change to a feature, or any other product development you think we should be considering as a fully considered post (the more specific, the better). This gives the whole company a chance to consider and respond to the idea, and then well have the idea encapsulated in a post, available for reference at any time.|How specific are your ideas of a fully considered post?|the more specific, the better|156|187
152|142|Therell always be more pitches than we have time to field, though. So its important to have realistic expectations about what will happen after you posted your pitch. The default is simply that everyone involved with product development (and probably most everyone else in the company) will read and consider your pitch. Thats a win right there. Even if the full pitch doesnt make it in, it can impact other product decisions by shining light on a weak point.|How do you have to think about your pitch if you want to make it in the industry?|read and consider your pitch. Thats a win right there|291|345
153|142|Therell always be more pitches than we have time to field, though. So its important to have realistic expectations about what will happen after you posted your pitch. The default is simply that everyone involved with product development (and probably most everyone else in the company) will read and consider your pitch. Thats a win right there. Even if the full pitch doesnt make it in, it can impact other product decisions by shining light on a weak point.|How can the information of a bad product decision impact other product decisions?|by shining light on a weak point|426|459
154|143|While a few pitches might instantly strike a chord loud enough to go on the plate for the next cycle, its more likely that your pitch will sit for a while first. There are always more ideas than time, and we can only get a few things done each cycle. So chances are that even if everyone agrees the pitch is a great idea, it might not be the next most important thing for us to tackle. Dont be discouraged by this. Weve had many pitches that have sat for many cycles, if not years, before finally coming together and then happening.|What is the likelyhood of a pitch going on the plate for a while?|more likely that your pitch will sit for a while first|106|161
155|143|While a few pitches might instantly strike a chord loud enough to go on the plate for the next cycle, its more likely that your pitch will sit for a while first. There are always more ideas than time, and we can only get a few things done each cycle. So chances are that even if everyone agrees the pitch is a great idea, it might not be the next most important thing for us to tackle. Dont be discouraged by this. Weve had many pitches that have sat for many cycles, if not years, before finally coming together and then happening.|How likely is it that an idea will be a great one?|it might not be the next most important thing for us to tackle|322|385
156|144|We have people working all sorts of different hours and from all sorts of different places at 37signals. That alone makes it hard to enforce a lot of tightly-coupled workflows during the day, but thats a feature not a bug. Most of the work you do at 37signals shouldnt require you to be in constant communication throughout the entire day with someone.|What company are there people from all over the world working for?|37signals|94|104
157|145|We have people working all sorts of different hours and from all sorts of different places at 37signals. That alone makes it hard to enforce a lot of tightly-coupled workflows during the day, but thats a feature not a bug. Most of the work you do at 37signals shouldnt require you to be in constant communication throughout the entire day with someone.|What company are there people from all over the world working for?|37signals|94|104
158|146|Its far better for everyones concentration and sanity if you collaborate as though most things will get an answer eventually, but not necessarily right this second. Your first choice of action should be to post a message, a todo, or a document about what you need to explain or need to know. Then others can read it on their schedule, when the natural lulls of the day allow it, rather than being interrupted right in their peak flow time.|How do you collaborate with people to make sure they have the information they need to do their work?|to post a message, a todo, or a document|203|243
159|146|Its far better for everyones concentration and sanity if you collaborate as though most things will get an answer eventually, but not necessarily right this second. Your first choice of action should be to post a message, a todo, or a document about what you need to explain or need to know. Then others can read it on their schedule, when the natural lulls of the day allow it, rather than being interrupted right in their peak flow time.|How should you first action be taken?|to post a message, a todo, or a document|203|243
160|147|Dont take that as gospel, though. Some times you really DO need to tightly collaborate with someone for an extended period of time, and thats fine. We have pings, hangouts, screensharing, or even in-person collaboration for when nothing else will do. (But most of the time something else will).|What do you call it when a song is based off of a real life situation?|gospel|18|25
161|147|Dont take that as gospel, though. Some times you really DO need to tightly collaborate with someone for an extended period of time, and thats fine. We have pings, hangouts, screensharing, or even in-person collaboration for when nothing else will do. (But most of the time something else will).|How do you collaborate with someone for an extended period of time?|tightly|67|74
162|148|All that being said, you should still ensure that there is ample overlap with the people you work with most of the time. While most roadblocks can just as well be cleared in 15-30-60 minutes, they become real annoying if its a one-day turn-around every time.|What is the fastest a roadblock can be cleared?|15-30-60 minutes|174|191
163|148|All that being said, you should still ensure that there is ample overlap with the people you work with most of the time. While most roadblocks can just as well be cleared in 15-30-60 minutes, they become real annoying if its a one-day turn-around every time.|What is the shortest amount of time that can cause a roadblock to become an issue?|15-30-60 minutes|174|191
164|149|In certain departments, like Support and Ops, its even more important that people are dependently available when they say they will be. That work has a lot of interrupt-based jobs that simply needs to be done right here, right now. So what applies to almost all work for design and programming and QA may well apply a little less frequently there.|What departments are more important that people are available when they say they will be?|Support and Ops|29|45
165|150|In self-sufficient, independent teams|What is the name of an independent team?|self-sufficient|3|19
166|152|Thus, the fewer other departments a team has to pass through on their road to rolling out a new feature, the better. We should be working on opening all these natural road blocks that form by default when you have awesome, strong departments, such as SIP, mobile, Ops, QA, and so forth.|How do the default ones form?|when you have awesome, strong departments|200|242
167|152|Thus, the fewer other departments a team has to pass through on their road to rolling out a new feature, the better. We should be working on opening all these natural road blocks that form by default when you have awesome, strong departments, such as SIP, mobile, Ops, QA, and so forth.|What are some of the departments that make up a strong department?|SIP, mobile, Ops, QA|251|272
168|153|For example, a team working on a new scheduling feature should be able to test and integrate their work with the native apps without involving mobile, unless something special is needed. Mobile shouldnt need a special heads up, and thus interruption and mental overhead or even guilt from lack of participation.|How should the new feature be tested and integrated with?|native apps|113|124
169|153|For example, a team working on a new scheduling feature should be able to test and integrate their work with the native apps without involving mobile, unless something special is needed. Mobile shouldnt need a special heads up, and thus interruption and mental overhead or even guilt from lack of participation.|What should not need a heads up in order to work on a new feature?|Mobile|187|193
170|154|Similarly, a native feature that requires an API change should be carried out by that native team directly.|How should the change of an API be carried out?|by that native team directly|78|107
171|155|When we need to use the staging database, that should be self-service too. Have a script anyone can run to restore it. Dont require going to ops and waiting around for someone to do it for us.|What should the staging database be able to be accessed through?|self-service|57|69
172|156|None of this means we cant talk together or ask colleagues with more experience or expertise for their advice. It just means it shouldnt be a required, necessary step to make 37signals better.|How do you decide if something should happen?|it shouldnt|125|136
173|157|As soon as organizational bottlenecks form, like a slew of features waiting for the mobile integration, were dragged towards more micro and detailed schedule management. It becomes a critical path with dependencies and making sure team Z is available just at the right moment for team A, such that nobody is blocked. Thats a poor fit for our organizational aspirations, so we have to work to counter that.|How were bottlenecks like features scheduled?|more micro and detailed schedule management|125|169
174|157|As soon as organizational bottlenecks form, like a slew of features waiting for the mobile integration, were dragged towards more micro and detailed schedule management. It becomes a critical path with dependencies and making sure team Z is available just at the right moment for team A, such that nobody is blocked. Thats a poor fit for our organizational aspirations, so we have to work to counter that.|What team must be available at the right moment for team A?|team Z|231|237
175|158|With managers of oneWe rely on everyone at 37signals to do a lot of self-management. People who do this well qualify as managers of one, and we strive for everyone senior or above to embody this principle fully.|What do managers of one rely on everyone at 37signals to do?|self-management|68|84
176|158|With managers of oneWe rely on everyone at 37signals to do a lot of self-management. People who do this well qualify as managers of one, and we strive for everyone senior or above to embody this principle fully.|How do you qualify as self-management?|People who do this well|85|108
177|159|That means setting your own direction when one isnt given. Determining what needs to be done, and doing it, without waiting for someone to tell you to. A manager of one will spend their time well when left to their own devices. Theres always more work to be done, always more initiatives to kick off, always more improvement to be had.|How does a manager spend their time?|when left to their own devices|196|227
178|160|We limit ourselves to a 40-hour (32-hour in the summer) work week. Keeping our hours at work limited forces us to prioritize the work that really matters. A healthy amount of sleep and a rich and rewarding life outside of work should not be squandered for a few more hours at work.|What is the work week limit for us?|40-hour|24|31
179|161|We limit ourselves to a 40-hour (32-hour in the summer) work week. Keeping our hours at work limited forces us to prioritize the work that really matters. A healthy amount of sleep and a rich and rewarding life outside of work should not be squandered for a few more hours at work.|How does limiting our work hours force us to do what?|prioritize the work that really matters|114|154
180|162|There are occasions where teams or individuals need to work off-hours for on-call, maintenance or emergencies. This time should not be in addition to your normal working hours. Use your discretion to take time off to make up for the additional hours you put in during the week.|What kind of emergencies will sometimes require time off?|on-call, maintenance|74|94
181|162|There are occasions where teams or individuals need to work off-hours for on-call, maintenance or emergencies. This time should not be in addition to your normal working hours. Use your discretion to take time off to make up for the additional hours you put in during the week.|What should time off to make up for the time you put in during the week be used for?|hours|244|249
182|163|Were happy for others to use this handbook as inspiration for their own organizations! The structure is fair game to copy. However, please dont use our words exactly if you are making your own handbook. Personalize to match your own organization, including of course the examples. Thanks!|How can the handbook be used in a way that's similar to the original?|Personalize to match your own organization|203|246
183|164|Were happy for others to use this handbook as inspiration for their own organizations! The structure is fair game to copy. However, please dont use our words exactly if you are making your own handbook. Personalize to match your own organization, including of course the examples. Thanks!|How do you personalize a handbook?|to match your own organization|215|246
184|166|If you want to learn the 37signals view of the world, it helps to know the influences that helped form it. We've been around since 1999. Since then theres been a number of key influencers that have marked the company culture.Books|Since what year has 37signals been around?|1999|131|136
