|context_id|context|question|answer
79|60|Dont take that as gospel, though. Some times you really DO need to tightly collaborate with someone for an extended period of time, and thats fine. We have pings, hangouts, screensharing, or even in-person collaboration for when nothing else will do. (But most of the time something else will). All that being said, you should still ensure that there is ample overlap with the people you work with most of the time. While most roadblocks can just as well be cleared in 15-30-60 minutes, they become real annoying if its a one-day turn-around every time.|Do you want to spend 15-30 minutes with people who are not working with you?| 15-30-60 minutes
80|60|Dont take that as gospel, though. Some times you really DO need to tightly collaborate with someone for an extended period of time, and thats fine. We have pings, hangouts, screensharing, or even in-person collaboration for when nothing else will do. (But most of the time something else will). All that being said, you should still ensure that there is ample overlap with the people you work with most of the time. While most roadblocks can just as well be cleared in 15-30-60 minutes, they become real annoying if its a one-day turn-around every time.|Do you want to spend one day in a park?| one-day turn-around
81|61|In certain departments, like Support and Ops, its even more important that people are dependently available when they say they will be. That work has a lot of interrupt-based jobs that simply needs to be done right here, right now. So what applies to almost all work for design and programming and QA may well apply a little less frequently there.|What kind of job does support and Ops have a lot of?| interrupt-based
82|62|In self-sufficient, independent teams. Organizational theory is thick with descriptions of the trade-offs between functional and project company structures. We seek to be more project than functional. This means a single project team should be able to go from idea to deploy as independently as possible. Thus, the fewer other departments a team has to pass through on their road to rolling out a new feature, the better. We should be working on opening all these natural road blocks that form by default when you have awesome, strong departments, such as SIP, mobile, Ops, QA, and so forth.|Projects are usually deployed as independently as possible if they are designed to do what?| idea to deploy
83|62|In self-sufficient, independent teams. Organizational theory is thick with descriptions of the trade-offs between functional and project company structures. We seek to be more project than functional. This means a single project team should be able to go from idea to deploy as independently as possible. Thus, the fewer other departments a team has to pass through on their road to rolling out a new feature, the better. We should be working on opening all these natural road blocks that form by default when you have awesome, strong departments, such as SIP, mobile, Ops, QA, and so forth.|Projects are more than functional because they are also meant to be run by individuals who are working together to accomplish the same thing.| independently
84|63|Similarly, a native feature that requires an API change should be carried out by that native team directly. When we need to use the staging database, that should be self-service too. Have a script anyone can run to restore it. Dont require going to ops and waiting around for someone to do it for us.|Do you want to have a script that can be used by any team to restore a database?| self-service
85|64|None of this means we cant talk together or ask colleagues with more experience or expertise for their advice. It just means it shouldnt be a required, necessary step to make 37signals better. As soon as organizational bottlenecks form, like a slew of features waiting for the mobile integration, were dragged towards more micro and detailed schedule management. It becomes a critical path with dependencies and making sure team Z is available just at the right moment for team A, such that nobody is blocked. Thats a poor fit for our organizational aspirations, so we have to work to counter that.|As soon as components of a mobile integration are added to the platform, what happens to the team?| and detailed schedule management
86|65|With managers of one. We rely on everyone at 37signals to do a lot of self-management. People who do this well qualify as managers of one, and we strive for everyone senior or above to embody this principle fully. That means setting your own direction when one isnt given. Determining what needs to be done, and doing it, without waiting for someone to tell you to. A manager of one will spend their time well when left to their own devices. Theres always more work to be done, always more initiatives to kick off, always more improvement to be had.|Do managers of one have to work for themselves?| self-management
87|66|Balanced. We limit ourselves to a 40-hour (32-hour in the summer) work week. Keeping our hours at work limited forces us to prioritize the work that really matters. A healthy amount of sleep and a rich and rewarding life outside of work should not be squandered for a few more hours at work.|Do we limit ourselves to 40 hours in the summer?| 40-hour
88|67|Balanced. We limit ourselves to a 40-hour (32-hour in the summer) work week. Keeping our hours at work limited forces us to prioritize the work that really matters. A healthy amount of sleep and a rich and rewarding life outside of work should not be squandered for a few more hours at work.|Do we limit ourselves to 40 hours in the summer?| (32-hour
89|68|There are occasions where teams or individuals need to work off-hours for on-call, maintenance or emergencies. This time should not be in addition to your normal working hours. Use your discretion to take time off to make up for the additional hours you put in during the week.|Do you need to work off-hours for maintenance or emergencies?| on-call
90|69|We use the following criteria to assess the level and title of our data analysts at Basecamp. These criteria arent exhaustive, and they arent mere checklists. Theyre a guidance to having an individualized discussion about career progression. General job description. Analyzes complex business problems and issues using data from internal and external sources to provide insight to decision-makers.|Analyzes complex business issues and issues using data from internal and external sources to provide insight to decision-makers. General job description. Analyzes complex business issues and issues using data from internal and external sources to provide insight to decision-makers. General job| business problems and issues
91|70|May directly produce datasets and reports for analysis using system reporting tools. Level specific traits. Senior Data Analyst (L3). Work doesnt necessarily need to be reviewed, but general approach may be. Comfortable operating as a manager of one, self-directing scope of work and setting timelines independently. Can provide informed advice to other teams on how best to approach data-related problems.|Level specific traits are a part of what?| system reporting
92|71|May directly produce datasets and reports for analysis using system reporting tools. Level specific traits. Senior Data Analyst (L3). Work doesnt necessarily need to be reviewed, but general approach may be. Comfortable operating as a manager of one, self-directing scope of work and setting timelines independently. Can provide informed advice to other teams on how best to approach data-related problems.|Level specific traits are a part of what job?| Senior Data Analyst
93|72|Usually at least 5 years of experience. Lead Data Analyst (L4). Work happens autonomously with no regular need for unsolicited review. Brings in appropriate stakeholders for input and feedback on a timeline that makes sense for all involved. Advocates for impactful projects that require cross-team collaboration. Able to run and direct small self-organized teams for such projects.|Lead Data Analyst is typically at least 5 years of experience.| Lead Data Analyst
94|73|Leads in making decisions on when and how substantial changes to the data analytics tooling and workflow are needed. Turns implicit knowledge explicit by documenting processes, key decisions, schematics, and other facts regularly. Makes data more accessible across the company by publishing relevant analyses and training others throughout the company on how to access data unaided.|How do managers and others learn to access data?| analyses
95|74|Helps set and maintain professional standards for the entire organization. Is highly regarded by others in the company and works to make the company better as a place to work. Usually at least 8 years of experience. Principal Data Analyst (L5). Can set and direct a large, cross-department project team towards one goal. Capable of running and directing those teams for substantive long-term projects.|Can help with the management of a large project?| 8 years of
96|74|Helps set and maintain professional standards for the entire organization. Is highly regarded by others in the company and works to make the company better as a place to work. Usually at least 8 years of experience. Principal Data Analyst (L5). Can set and direct a large, cross-department project team towards one goal. Capable of running and directing those teams for substantive long-term projects.|Can help with the management of a project team by setting up a team and directing what?| Principal Data Analyst
97|75|Pushes the whole organization forward regularly through the use of different organizational concepts and analytical applications. Regularly publishes and shares analysis process insights inside and outside the company. Capable of designing and architecting new data analytics tooling and workflows. Usually at least 12 years of experience.|At least 12 years of experience?| at least
98|75|Pushes the whole organization forward regularly through the use of different organizational concepts and analytical applications. Regularly publishes and shares analysis process insights inside and outside the company. Capable of designing and architecting new data analytics tooling and workflows. Usually at least 12 years of experience.|Experience is usually| 12 years of
99|77|Junior Programmer. Work is thoroughly reviewed with substantial backnforth frequently needed before merging. Basic language features are mastered, but some advanced structures may still be unfamiliar. Occasional issues following patterns and approaches within existing code bases. Works primarily on tightly scoped, routine problems. Usually less than 2 years of experience being a professional programmer in the specific domain.|How long are most of the junior programmers in the industry?| less than
100|77|Junior Programmer. Work is thoroughly reviewed with substantial backnforth frequently needed before merging. Basic language features are mastered, but some advanced structures may still be unfamiliar. Occasional issues following patterns and approaches within existing code bases. Works primarily on tightly scoped, routine problems. Usually less than 2 years of experience being a professional programmer in the specific domain.|About what time does it take for a programmer to have developed a basic programming skillset?| 2 years
101|78|. Programmer. Work is reviewed with the occasional need for material direction or implementation changes. Follows established patterns and approaches within existing code bases with ease. Works mostly on clearly defined and scoped individual features or problems. Usually at least 2-5 years of experience being a professional programmer in the specific domain.|Do programmers who have experience working in the field have to be very experienced to be considered for employment?| least
102|79|. Senior Programmer. Work doesnt necessarily need to be reviewed, but general approach may be. Fully capable of taking substantial features from concept to shipping as the sole programmer (alongside a designer). Can provide material feedback on the work of junior programmers and programmers. Deep expertise within at least one programming environment.|Work does not necessarily need to be reviewed, but general approach may be. Can provide material feedback on the work of junior programmers and programmers. Can provide material feedback on work of junior programmers and programmers?| Senior Programmer
103|80|Basic proficiency in at least one additional programming environment. Usually at least 5-8 years of experience being a professional programmer in the specific domain. Lead Programmer. Work happens completely autonomously with no regular need for review. Fully capable of owning and running entire subsystems of work (Queenbee expert, Action Cable implementation).|Do programmers who have experience programming for a specific domain have the opportunity to become proficient in programming in a specific environment?| 5-8 years
104|81|Helps set and maintain professional standards for the entire organization. Deep, substantial expertise in multiple programming environments. Capable of running and directing small teams for substantial projects. Capable of executing projects across multiple domains (say, native app that needs API backend). Usually at least 8-12 years of experience being a professional programmer in the specific domain.|At least 8 years of experience being a professional programmer in the specific domain.| at least
105|81|Helps set and maintain professional standards for the entire organization. Deep, substantial expertise in multiple programming environments. Capable of running and directing small teams for substantial projects. Capable of executing projects across multiple domains (say, native app that needs API backend). Usually at least 8-12 years of experience being a professional programmer in the specific domain.|How long is it typically for a professional programmer to be a professional programmer?| 8-12 years
106|82|. Principal Programmer. Can set and direct an entire department, like SIP, Core Product, or Research & Fidelity. Fully capable of designing, owning, and running entirely new, novel systems (design billing systems, Trix, Active Record from scratch). Capable of running and directing larger teams for large, long-running projects. Recognized widely in the industry for material contributions to the state of the art.|Can set and direct an entire department, like SIP, Core Product, or Research & Fidelity.| Principal Programmer
107|83|Invents new concepts, pushes the whole organization forward regularly. Usually at least 12-15+ years of experience being a professional programmer in the specific domain.|At least 12 years of experience being a professional programmer in the specific domain.| at least
108|83|Invents new concepts, pushes the whole organization forward regularly. Usually at least 12-15+ years of experience being a professional programmer in the specific domain.|How long does it take to become a professional programmer?| 12-15+ years
109|84|37signals pledges to be a company with a healthy and friendly work environment. What follows is a set of guidelines on how we get there. Behavior that contributes to a healthy and friendly work environment:. Using courteous language. Being respectful and empathetic, especially when it comes to differing viewpoints and experiences.|What language is used to communicate a positive attitude towards different types of people?| courteous language
110|86|Reporting. If you experience or witness something that violates our Code of Conduct, please report it to your manager or to leadership via email or chat. All reports will be reviewed and investigated, and your confidentiality will be as protected as possible during the investigation. If an employee is found to have violated our Code of Conduct, it will be permanently documented in their personnel file. Depending on the severity of the offense and the findings of the investigation, additional responses may include mandatory training, a formal reprimand, or even termination. The reactive measures taken will be shared with the reporting employee when possible.|If someone reports that an employee is violating the Code of Conduct, please contact them via email or chat.| manager or to leadership
111|87|Reporting. If you experience or witness something that violates our Code of Conduct, please report it to your manager or to leadership via email or chat. All reports will be reviewed and investigated, and your confidentiality will be as protected as possible during the investigation. If an employee is found to have violated our Code of Conduct, it will be permanently documented in their personnel file. Depending on the severity of the offense and the findings of the investigation, additional responses may include mandatory training, a formal reprimand, or even termination. The reactive measures taken will be shared with the reporting employee when possible.|If an employee is found to have violated the Code of Conduct, it will be permanently documented in their personnel file.| a formal reprimand, or even termination
112|88|In extreme circumstances, you can report an incident anonymously. Anonymous complaints should be reserved for incidents in which you fear for your safety. An important note: Most interpersonal conflicts do not rise to the level of a Code of Conduct report. If you find a colleague rude or difficult to work with, you should address that with your manager or better yet with that colleague directly. Code of Conduct reports are reserved for the kind of unacceptable behavior outlined above and other serious transgressions illegal or egregiously unethical behavior.|Do you report an incident anonymously?| you fear for your safety
113|90|If your work performance is not meeting expectations, you may be put on a Performance Improvement Plan (PIP). We only initiate PIPs if your managers concern is correctable in the short term. We do not usually initiate PIPs for fundamental performance issues that relate to your core job skills. Below are the steps your manager will take at 37signals when they identify a problem with your performance that must be addressed with a performance improvement plan (PIP).|PIPs are initiated if managers concern is correctable in the short term.| Performance Improvement Plan
114|90|If your work performance is not meeting expectations, you may be put on a Performance Improvement Plan (PIP). We only initiate PIPs if your managers concern is correctable in the short term. We do not usually initiate PIPs for fundamental performance issues that relate to your core job skills. Below are the steps your manager will take at 37signals when they identify a problem with your performance that must be addressed with a performance improvement plan (PIP).|If managers are concerned, what does PIP stand for?| managers concern is correctable in the short term
115|91|Identify and Document. Your manager will identify a productivity or disciplinary problem as soon as possible after it occurs if its a specific incident, or as soon as they can when they sense a general problem with your ongoing performance. Your formal reviews may be helpful in identifying a problem, but managers shouldnt wait for those reviews to raise a problem with you.|Negotiations between managers and managers can help with identifying a problem in the workplace.| reviews
116|93|When you come to the end of your PIP timeline, you and your manager will have a formal check-in. If your performance is back where it should be, thats the end of this process. If your performance is not where it should be, your manager will outline next steps. If they feel youre putting forth good effort and could use more time to show improvement, they may extend the timeline of the PIP. If your manager feels your performance has not improved at all and you havent met the requirements outlined in your PIP, they may decide to terminate your employment with 37signals.|When do managers of a PIP terminate a job?| where it should
117|94|If you are terminated, youll be offered a severance package that includes 2 weeks of pay for every 6 months of employment, with a max 6 months severance pay (for 6 years+ of employment). The package also includes health insurance for you and your dependents if youve been on our policies for the same time periods, compensation for unused vacation time, and compensation for unused sabbatical time if applicable (1 year look back). In return, youll be asked for a general release of liabilities and other standard employment termination terms. When you begin looking for work, your manager and the company may provide references, if desired.|If you are terminated, what will you receive?| 2 weeks of pay
118|95|Whats the most important detail missing from the above process?. Support. Your manager will offer extra support during the PIP process. We know lots of external factors can come into play at work. If youre having personal or professional issues that are harming your performance, please tell your manager so they can work with you.|If you are having issues, what can help you?| Support
119|95|Whats the most important detail missing from the above process?. Support. Your manager will offer extra support during the PIP process. We know lots of external factors can come into play at work. If youre having personal or professional issues that are harming your performance, please tell your manager so they can work with you.|If you are having issues, what can you do to help?| manager
120|97|Exceptions. The process outlined above is for employees who are dealing with manageable performance or disciplinary issues. If an employee is negligent in their duties or commits fraud or insubordination to the point that a performance plan wont serve 37signals or the employee, we retain the right to immediately terminate at-will as stated in our employment contracts. 37signals also retains the right to bypass steps outlined above, including offering a severance package, if the severity of performance problems warrants that. In either of these cases, the reasoning will be spelled out in detail to the employee prior to termination.|If the severity of a performance problem warrants that, what do employees in the 37signals contract offer?| severance package
121|98|We use the following criteria to assess the level and title of our Support team members at Basecamp. Junior Customer Support Representative, level 1. Throughput and productivity is uneven/unpredictable. Adept at commonly asked questions and inquiries. Uses HelpScout effectively. Prefers email support over phone, as is not yet comfortable speaking adlib about product.|Level 1. Throughput and productivity is uneven/unpredictable. Adept at commonly asked questions and inquiries. Uses helpscout effectively. Prefers email support over phone, as is not yet comfortable speaking adlib about product. Adept| Junior Customer Support Representative
122|100|Throughput and productivity is predictable. Is able to adhere to our customer service values a majority of the time. Is adept at working with HelpScout and finds productivity shortcuts. Works evenly on calls and email, is able to field inquiries that are multi-faceted. Understands most, if not all, of the product features and can provide support on all mobile platforms.|Is able to work with and manage employees and help them respond to customer queries?| HelpScout
123|101|Teaches classes and/or contributes to the knowledge database, works with software developers and others in the company to resolve issues. Pattern recognition regarding problem areas in app is developing. Begins to recommend new features and enhancements. Usually at least 2-5 years of experience being a customer support professional. Senior Customer Support Representative, level 3|How long does it take to become a customer support representative?| least
124|101|Teaches classes and/or contributes to the knowledge database, works with software developers and others in the company to resolve issues. Pattern recognition regarding problem areas in app is developing. Begins to recommend new features and enhancements. Usually at least 2-5 years of experience being a customer support professional. Senior Customer Support Representative, level 3|How long is it typically for a customer support rep to be a customer support professional?| 2-5 years
125|102|. Work beyond customer support tickets is self-directed and doesnt necessarily need to be reviewed, occasionally needs help with choosing items that are impactful. Understands when to initiate on-call workflow without guidance from peers. Complete and deep expertise with all versions of Basecamp. Can handle any inquiry. Has predictable and high throughput, exceeds CS values, while also maintaining a high level of customer satisfaction. Generates new ideas and systems in order to deliver better customer support. Is creative and customer-centric. Works independently.|Is it feasible to work with a lot of different people?| Basecamp
126|103|Can provide material feedback on the work of Level 1-2 customer support and still maintain productivity. Can work very effectively with difficult or upset customers. Initiates training, publishes to SvN is seen as a leader, go-to person on the team. Tests on multiple platforms and reporting findings as Advanced Troubleshooting/Quality Documentation while maintaining regular customer conversations.|Can help with customer troubleshooting and quality documentation?| SvN
127|104|Can single-handedly handle a crisis either by taking control over reporting and channels, or delegating tasks to others. Pattern recognition fully developed in order to contribute significantly to product features/enhancements. Usually at least 5-8 years of experience being a customer support professional. Lead Customer Support Representative, level 4. Work happens completely autonomously with no regular need for review.|Lead customer support representative experience is a minimum of what?| 5-8 years
128|104|Can single-handedly handle a crisis either by taking control over reporting and channels, or delegating tasks to others. Pattern recognition fully developed in order to contribute significantly to product features/enhancements. Usually at least 5-8 years of experience being a customer support professional. Lead Customer Support Representative, level 4. Work happens completely autonomously with no regular need for review.|Do customers always have to wait for review?| autonomously
129|105|Demonstrates product dedication via testing on multiple platforms and reporting findings as Advanced Troubleshooting/Quality Documentation while maintaining regular customer conversations. Fully capable of owning and resolving any type of ticket. Clearly articulates new issues for software development engineers, suggests changes to website. Authors help desk, contributes original content to knowledge base. Designs new programs that have high customer impact.|Do developers report success or failure of their work?| Troubleshooting/Quality
130|106|Capable of running and directing small teams for substantial projects. Expert within technology beyond Basecamp, like browsers, both OS. Is good at getting to root causes of issues and then writing them up in a way that can be acted upon by software development. Consulted by developers and designers for input.|Developers are consulted by designers for input.| developers
131|107|Capable of running and directing small teams for substantial projects. Expert within technology beyond Basecamp, like browsers, both OS. Is good at getting to root causes of issues and then writing them up in a way that can be acted upon by software development. Consulted by developers and designers for input.|Is good at identifying common mistakes and| designers
132|108|Pattern recognition fully developed in order to pitch new product features/enhancements. Usually at least 8-12 years of experience being a customer support professional. Principal Customer Support Representative, level 5. Work happens completely autonomously with no regular need for review. Uses console access to resolve cases that require pre-written scripts or other basic code touches to fix common issues.|How long does it take to develop the entire product?| 8-12 years
133|111|Expert within technology beyond Basecamp, like browsers, both OS, and many third-party API extensions. Excels at getting to root causes of issues and then writing them up in a way that can be acted upon by software development. Does not necessarily need help from developers, marketing, or design for input.|Expert within technology beyond Basecamp, like browsers, OS, and many third-party extension does not necessarily need help from developers, marketing, or design for input.| causes
134|112|Usually at least 12-16 years of experience being a customer support professional.|At least 12 years of experience being a customer support professional.| at least
135|114|37signals has over time developed a vocabulary specific to our work and company. Chowder. When establishing the tasks under a project, there are must-haves and maybes. Chowder is a shorthand we use to refer to the maybes. Judo. Most problems can be solved in a thousand different ways. One way might take 100 hours, another might take 10. Judo is the art of problem restatement. Turning that massive, scary 3-month looking problem into one that can be done in 3 weeks instead. Its often used when we get frustrated trying to solve something hard and we arent making sufficient progress: Lets figure out a way to judo this!.|When establishing the tasks under a project, there are must-haves and maybes.| Chowder
136|115|37signals has over time developed a vocabulary specific to our work and company. Chowder. When establishing the tasks under a project, there are must-haves and maybes. Chowder is a shorthand we use to refer to the maybes. Judo. Most problems can be solved in a thousand different ways. One way might take 100 hours, another might take 10. Judo is the art of problem restatement. Turning that massive, scary 3-month looking problem into one that can be done in 3 weeks instead. Its often used when we get frustrated trying to solve something hard and we arent making sufficient progress: Lets figure out a way to judo this!.|Most problems can be solved in a thousand different ways.| Judo
137|116|PDI. Please do investigate. Seen most often on to-do lists in Basecamp to indicate uncertainty. It helps everyone on the project understand that were going to look into it but it may or may not be feasible, practical, or possible. Scope Hammering. Its a rare case when our initial aspirations for a feature dont meet the boundaries of our cycle budgets. When that happens, our go-to tool for shipping is scope hammering. This basically just means shrinking the scope, removing features or configuration or fidelity, until the work is doable within the time left. Its the opposite tactic to working longer days or weekends or to postpone the project into another cycle. Almost every project can be scope hammered, especially if you invite someone in to assist with the analysis who isnt afraid to kill other peoples darlings. Youll get better at doing that yourself after a few rounds too.|Scope hammering is a different tactic from working longer days or weekends or to postpone the project into another cycle.| scope hammering
138|117|Where should I report a bug?. We are actively fixing feature-related bugs for Basecamp and HEY. Its a good idea to try to do a quick search first to see if your bug has already been reported, but better to report something twice than not at all. If you find a bug related to Basecamp, add it to a Card Table in Basecamp Web: Bugs, Basecamp Android: Bugs, or Basecamp iOS: Bugs.|If you are using a card table in Basecamp, add a bug to it.| Card Table
139|117|Where should I report a bug?. We are actively fixing feature-related bugs for Basecamp and HEY. Its a good idea to try to do a quick search first to see if your bug has already been reported, but better to report something twice than not at all. If you find a bug related to Basecamp, add it to a Card Table in Basecamp Web: Bugs, Basecamp Android: Bugs, or Basecamp iOS: Bugs.|Where should you find a bug related to Basecamp?| Basecamp Web: Bugs
140|119|If you travel out of your country of residence with your work laptop or other devices, you may face questions about business visitor visas, customs, and border security. We have answers!. When you travel for 37signals business, heres what you need:. Your passport! Apply for one now if you dont have one already. Renew now if your passport expires in the next six months.|If you are traveling for 37signals business, renew now if you dont have one already.| Your passport
141|120|A travel visa, waiver, or an electronic travel authorization. 37signals will cover the cost of any documentation you need to travel on 37signals business. An invitation letter that substantiates the purpose of your travel. Your lodging address and contact info. A security checklist for your laptop and phone. Clearing work data from your devices is required before crossing any border.|Do you need to do this before crossing a border?| Clearing work data from
142|121|. Travel to the United States. Visa. You need a visa or a waiver to authorize travel to the US. If your country participates in the Visa Waiver Program (VWP), then you can apply for an ESTA (Electronic System for Travel Authorization) within 3 days of travel. The ESTA is valid for 2 years. Apply for an ESTA here.|If you are applying for an ESTA, you must apply for a new one within 3 days of travel.| (Electronic System for Travel Authorization)
143|121|. Travel to the United States. Visa. You need a visa or a waiver to authorize travel to the US. If your country participates in the Visa Waiver Program (VWP), then you can apply for an ESTA (Electronic System for Travel Authorization) within 3 days of travel. The ESTA is valid for 2 years. Apply for an ESTA here.|If you are applying for an ESTA, apply for an ESTA here.| 2 years
144|122|Canadian passport holders dont need a visa to enter the US for non-paid business events. Passport and government ID are all thats required. B-1 Business Visitor Visa. If your country does not participate in the Visa Waiver Program or you are not eligible for an ESTA, youll need to apply for a B-1 business visitor visa the long way.|If you are not eligible for a business visa, youll need to apply for a B-1 business visitor visa the long way.| Passport and government ID
145|122|Canadian passport holders dont need a visa to enter the US for non-paid business events. Passport and government ID are all thats required. B-1 Business Visitor Visa. If your country does not participate in the Visa Waiver Program or you are not eligible for an ESTA, youll need to apply for a B-1 business visitor visa the long way.|If you are not eligible for a business visitor visa, youll need to apply for a B-1 business visitor visa the long way.| B-1 Business Visitor Visa
146|123|Well work with you through this process. Start early, as soon as we have dates for a meetup or conference. Visa appointments and processing can take weeks to months. Ping Andrea as soon as you know that youll need a visa. Trusted Traveler Programs. Citizens of some countries are eligible for Global Entry and Canadians are eligible for NEXUS. These programs are completely optional but may make life a little easier, at the cost of onerous biometric scans like fingerprinting (for Global Entry and NEXUS) and iris scanning (for NEXUS). Note: An ESTA is still required for travel; these programs just speed up entry.|Do you need to wait until you know what time to apply for a visa?| weeks to months
147|123|Well work with you through this process. Start early, as soon as we have dates for a meetup or conference. Visa appointments and processing can take weeks to months. Ping Andrea as soon as you know that youll need a visa. Trusted Traveler Programs. Citizens of some countries are eligible for Global Entry and Canadians are eligible for NEXUS. These programs are completely optional but may make life a little easier, at the cost of onerous biometric scans like fingerprinting (for Global Entry and NEXUS) and iris scanning (for NEXUS). Note: An ESTA is still required for travel; these programs just speed up entry.|For travel, there are two things that must be done: 1) Determine if you can go to another country with a visa before going to the first country?| ESTA
148|124|Travel to countries other than the United States. Visa. The visa requirements for your nationality will vary depending on the country you plan to visit, as individual visa policies and requirements vary for different foreign citizens. It may or may not be necessary to obtain a travel document to visit your country of destination.|Travel to countries other than the US is a requirement to obtain a visa.| Visa
149|125|Please check the requirements for your nationality with your destination country as far in advance of travel as you can. You can also use a visa checker. You may be able to travel visa-free, or you may need to obtain a visa, a waiver, or an electronic travel authorization. Invitation Letter|If you are able to travel without a visa, what are you required to obtain?| visa, a waiver, or an electronic travel authorization
150|127|Company Security at Border Crossings. When you cross a border, you may be asked to unlock your phone or laptop for search, possibly exposing sensitive company data like source code, passwords, and customer account data. Yikes! We need to take some precautionary measures to safeguard our data. Whats a work device? Anything you have company data on: your laptop where you work with source code; your tablet where you read work email; your phone where you use the Basecamp app; etc.|What are some of the sensitive information that can be accessed by a device that is already on the line?| source code, passwords, and customer account data
151|128|TL;DR: Dont Travel With Work Data. If you dont need your work laptop (or tablet/phone), dont bring it with you!. Wipe company data from your phone before crossing the border. Restore it afterward. Checklist: Before You Travel. Let us know! Share your travel plans and when you expect to arrive in the US.|If you don't need your work laptop, don't bring it with you!| Dont Travel With Work Data
152|128|TL;DR: Dont Travel With Work Data. If you dont need your work laptop (or tablet/phone), dont bring it with you!. Wipe company data from your phone before crossing the border. Restore it afterward. Checklist: Before You Travel. Let us know! Share your travel plans and when you expect to arrive in the US.|Before you travel, checklist for where to do this?| Wipe company data
153|129|Update your electronic travel authorization with your travel info when you have it. Ensure you have your passport, visa/waiver, invitation letter, and travel details all in order. If you run into general travel issues while on 37signals business, contact Andrea. If you find yourself facing serious consequences like arrest or illegal detention in the United States, you can contact our attorney Jennifer Schaaf. Her contact information is in the teams vault in 1Password. You should also contact your home countrys embassy or consulate; please save that phone number prior to travel.|Name the person who will assist you in your travel information?| Jennifer Schaaf
154|130|If youre traveling to a country with privacy laws that concern you, please raise that concern internally with Andrea before you travel so we can discuss putting protections in place, including connecting you with a local, on-call attorney. 1Password. Check that your personal 1Password vault doesnt have any work logins. If it does, move them to the team vault instead. You have a personal vault inside the 37signals team which is perfect for those logins.|If you are traveling to a country that has privacy laws that concern you, please raise that concern internally with Andrea before you travel so we can discuss putting protections in place.| you with a local, on-call attorney
155|130|If youre traveling to a country with privacy laws that concern you, please raise that concern internally with Andrea before you travel so we can discuss putting protections in place, including connecting you with a local, on-call attorney. 1Password. Check that your personal 1Password vault doesnt have any work logins. If it does, move them to the team vault instead. You have a personal vault inside the 37signals team which is perfect for those logins.|If it does, move them to the team vault instead.| vault doesnt have any work logins
156|131|Turn on Travel Mode. Go to https://basecamp.1password.com/profile and click Enable Travel Mode. Open 1Password on each device youre traveling with (laptop, phone, iPad, etc) so it can wipe its data while its in Travel Mode. HEY. Log out of HEY on all sessions. Clear browser cookies, logging you out of all work sites.|Go to Travel mode on each device that youre traveling with.| Travel Mode
157|131|Turn on Travel Mode. Go to https://basecamp.1password.com/profile and click Enable Travel Mode. Open 1Password on each device youre traveling with (laptop, phone, iPad, etc) so it can wipe its data while its in Travel Mode. HEY. Log out of HEY on all sessions. Clear browser cookies, logging you out of all work sites.|Do NOT allow apps to be used in Travel mode| can wipe its data while its in Travel Mode
158|132|Laptops: Clear cookies in Chrome, Safari, etc. iOS: Settings > Safari > Clear History and Website Data. Android: Chrome > Settings > Privacy > Clear browsing data. Check Cookies and site data; uncheck all the other items. > Clear data. Source code. Make an encrypted archive on an external hard drive of your git repos so you can download and restore it after youre through customs. Here are instructions for doing that if youre running a Mac OS. Please perform an equally secure file encryption for Windows or Linux OS & check with SIP if youre unsure how to do that.|Do you want to remove all of the files that are stored on a USB stick?| archive
159|133|Delete all source code from your laptop. Other sensitive documents. Same deal as source code. Make an encrypted backup on your external drive and remove from your laptop. Please refrain from using iCloud for any files/repos. Dropbox. Log out of Dropbox and disconnect. Touch ID (optional). Unlocking your device can be compelled at US border crossings, but other countries may be less intrusive, so it may make sense to make your device a little harder to unlock.|Do not unlock your device.| Touch ID
160|134|Disable Touch ID or Face ID on your phone, tablet, and laptop. Require a passcode/password to unlock. Checklist: At Customs. Have ready your passport, visa/waiver, invitation letter, and travel details including the address of where youll be staying. Ensure your devices are charged up and turned on. Customs may balk at a bricked phone or laptop.|Do you need to have a passcode/password to unlock a device?| ID or Face ID
161|135|Common questions:. Purpose of your visit? Here for a business meeting in city. Here to do work? Nope! Here on business, meeting with 37signals. Where are you staying? Lodging name, address, phone number. Be straightforward and truthful. Youre legit! No need to be cagey or misleading. Checklist: When You Arrive. Let us know when youve arrived at your destination and have cleared airport security.|Where are you staying?| 37signals
162|135|Common questions:. Purpose of your visit? Here for a business meeting in city. Here to do work? Nope! Here on business, meeting with 37signals. Where are you staying? Lodging name, address, phone number. Be straightforward and truthful. Youre legit! No need to be cagey or misleading. Checklist: When You Arrive. Let us know when youve arrived at your destination and have cleared airport security.|Where are you staying?| 37signals
163|136|Touch ID / Face ID: Reenable on your phone, tablet, and laptop. Dropbox: Log in and reconnect, but only if needed during travel. Basecamp app: Reinstall on your phone, tablet, and laptop. 1Password: Turn off Travel Mode. Go to https://basecamp.1password.com/profile and click Disable Travel Mode. Next time you open 1Password, youll have full access again.|Go to 1Password again.| Turn off Travel Mode
164|137|. Any Questions?. Hitting a snag or have any questions? Ping Jeremy or Andrea and we can help.|Do you know what language?| Jeremy
